Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
ThreadPerClient	20	30	0	1000	29342.676833333335	6872.703866666667	575583.6223666667
ThreadPerClient	40	30	0	1000	40938.113933333334	17665.411366666667	635593.7494333333
ThreadPerClient	60	30	0	1000	60325.78803333334	35384.04353333334	684362.6340666667
ThreadPerClient	80	30	0	1000	82316.4233	56940.48983333333	699940.0022333333
ThreadPerClient	100	30	0	1000	123987.55183333335	93170.99500000001	762594.671
ThreadPerClient	120	30	0	1000	167830.41316666667	133036.79296666666	943127.7123666666
ThreadPerClient	140	30	0	1000	301946.85113333334	256633.86623333333	1139643.7212
ThreadPerClient	160	30	0	1000	404607.1760333333	352810.7100333333	1456611.2828
ThreadPerClient	180	30	0	1000	528844.2894666666	442284.84126666666	1707586.0460666665
ThreadPerClient	200	30	0	1000	579057.2654	526880.1704	2024038.6559666668
ThreadPerClient	220	30	0	1000	750856.0348333333	680961.9315666667	2285203.6725
ThreadPerClient	240	30	0	1000	993818.9617	892151.6776666666	3041481.7658333336
ThreadPerClient	260	30	0	1000	1171668.1663666666	1023068.8321333334	3063222.641133333
ThreadPerClient	280	30	0	1000	1435595.3057666668	1319531.5289999999	3511718.998366667
ThreadPerClient	300	30	0	1000	1552824.3108333335	1427423.4784666668	3933049.9508333337
