Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
NonBlockingPool	1000	30	0	100	4.0987450200333335E7	1.1036438465E7	4.1402780136E7
NonBlockingPool	1000	30	20000000	100	2.4168521954E7	1.2246733461666668E7	4.6195318664E7
NonBlockingPool	1000	30	40000000	100	1.0775329069E7	9945026.766999999	5.303490964066666E7
NonBlockingPool	1000	30	60000000	100	9141181.999000002	8347805.680333333	7.2279314758E7
NonBlockingPool	1000	30	80000000	100	1.0949391659666667E7	9076172.338	9.495221388533333E7
NonBlockingPool	1000	30	100000000	100	7904041.678666667	7473207.670333332	1.1172128586466667E8
NonBlockingPool	1000	30	120000000	100	7651635.8379999995	7244783.726333333	1.3157962786799999E8
NonBlockingPool	1000	30	140000000	100	6813992.937000001	6537323.274	1.5068845664833334E8
NonBlockingPool	1000	30	160000000	100	7790453.391666667	7336491.768	1.7191532126900002E8
NonBlockingPool	1000	30	180000000	100	7725838.579333333	7223464.863	1.9164469619066665E8
NonBlockingPool	1000	30	200000000	100	7632311.728	7131611.873	2.1164385278366664E8
