Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
ThreadPerClient	20	10	2000000	1000	36922.5317	8592.199100000002	2719786.165
ThreadPerClient	20	20	2000000	1000	37627.5113	8272.84265	2627446.7286
ThreadPerClient	20	30	2000000	1000	34557.92536666667	7644.8233666666665	2717408.833866667
ThreadPerClient	20	40	2000000	1000	36058.688675	7988.145925	2718707.447
ThreadPerClient	20	50	2000000	1000	37853.16234	9026.55818	2793379.1202
ThreadPerClient	20	60	2000000	1000	34172.46743333333	7724.005316666667	2785121.3324166667
ThreadPerClient	20	70	2000000	1000	34224.455785714286	7786.315757142857	2889968.2570857145
ThreadPerClient	20	80	2000000	1000	32760.989637500003	7300.4157125	2846483.9552375004
ThreadPerClient	20	90	2000000	1000	34173.875377777775	7752.868877777778	3231612.2233555554
ThreadPerClient	20	100	2000000	1000	34764.03274	7551.21025	3677339.86377
